HD207832c	TIC-53895723
HD20794b	TIC-301051051
HD20794c	TIC-301051051
HD20794d	TIC-301051051
HD20794e	TIC-301051051
HD208487b	TIC-197686484
HD20868b	TIC-142851295
HD210193b	TIC-278523703
HD211810b	TIC-336634601
HD211970b	TIC-231704229
HD212301b	TIC-317057430
HD212771b	TIC-12723961
HD213240b	TIC-144068704
HD213885b	TIC-403224672
HD213885c	TIC-403224672
HD21411b	TIC-142875660
HD215497b	TIC-469943599
HD215497c	TIC-469943599
HD216435b	TIC-161314759
HD216437b	TIC-277774779
HD216520b	TIC-264899051
HD216520c	TIC-264899051
HD216536b	TIC-154487334
HD216770b	TIC-47526465
HD21693b	TIC-197792776
HD21693c	TIC-197792776
HD21749c	TIC-279741379
HD217850b	TIC-314040044
HD219077b	TIC-394125166
HD219134b	TIC-283722336
HD219134c	TIC-283722336
HD219134d	TIC-283722336
HD219134f	TIC-283722336
HD219134g	TIC-283722336
HD219134h	TIC-283722336
HD219415b	TIC-323819453
HD220074b	TIC-269237357
HD220689b	TIC-9156146
HD220842b	TIC-251866143
HD221287b	TIC-231716612
HD221420b	TIC-277890728
HD221585b	TIC-270730826
HD222076b	TIC-325178933
HD222155b	TIC-26370518
HD224538b	TIC-280803137
HD224693b	TIC-114807081
HD22781b	TIC-101166776
HD23079b	TIC-206402844
HD23127b	TIC-311924816
HD231701b	TIC-92300251
HD233604b	TIC-150184553
HD233832b	TIC-445811628
HD23472b	TIC-425997655
HD23472c	TIC-425997655
HD23596b	TIC-201266092
HD238090b	TIC-224289449
HD238914b	TIC-359558085
HD240210b	TIC-315415155
HD240237b	TIC-323919676
HD24064b	TIC-102987456
HD24085b	TIC-32001057
HD25015b	TIC-178249461
HD25171b	TIC-237933846
HD2638b	TIC-244178536
HD26965b	TIC-67772871
HD27442b	TIC-198079199
HD27631b	TIC-7652514
HD27894b	TIC-396697266
HD27894c	TIC-396697266
HD27894d	TIC-396697266
HD28185b	TIC-37947783
HD28254b	TIC-219256496
HD28678b	TIC-449145115
HD29021b	TIC-458350670
HD290327b	TIC-4205424
HD2952b	TIC-452910671
HD30177b	TIC-220408612
HD30177c	TIC-220408612
HD30562b	TIC-176379354
HD30669b	TIC-607907
HD30856b	TIC-612908
HD31253b	TIC-436700755
HD31527b	TIC-146322354
HD31527c	TIC-146322354
HD31527d	TIC-146322354
HD32518b	TIC-310836777
HD330075b	TIC-275786473
HD33142b	TIC-169397663
HD33142c	TIC-169397663
HD33283b	TIC-13147218
HD33564b	TIC-142103211
HD33844b	TIC-169534187
HD33844c	TIC-169534187
HD34445b	TIC-284907742
HD34445c	TIC-284907742
HD34445d	TIC-284907742
HD34445e	TIC-284907742
HD34445f	TIC-284907742
HD34445g	TIC-284907742
HD35759b	TIC-286954708
HD3651b	TIC-434210589
HD37605b	TIC-144730053
HD37605c	TIC-144730053
HD38283b	TIC-141411201
HD38529b	TIC-200093173
HD38529c	TIC-200093173
HD38801b	TIC-66650754
HD39091b	TIC-261136679
HD39855b	TIC-160301040
HD40307b	TIC-374859347
HD40307c	TIC-374859347
HD40307d	TIC-374859347
HD40307f	TIC-374859347
HD40307g	TIC-374859347
HD40956b	TIC-71099944
HD40979b	TIC-440489582
HD41004Ab	TIC-219152539
HD41004Bb	TIC-734710085
HD4113b	TIC-118586897
HD4203b	TIC-434225151
HD4203c	TIC-434225151
HD4208b	TIC-43400838
HD42618b	TIC-153289168
HD4308b	TIC-234501204
HD43197b	TIC-37660988
HD44219b	TIC-443055162
HD45184b	TIC-49831913
HD45184c	TIC-49831913
HD45350b	TIC-144132551
HD45364b	TIC-117768715
HD45364c	TIC-117768715
HD45652b	TIC-206948365
HD46375b	TIC-234928947
HD47186b	TIC-101145648
HD47186c	TIC-101145648
HD4732b	TIC-63905972
HD4732c	TIC-63905972
HD47366b	TIC-443578538
HD47366c	TIC-443578538
HD47536b	TIC-52172862
HD48265b	TIC-255781806
HD4917b	TIC-77481104
HD50499b	TIC-53175558
HD50499c	TIC-53175558
HD51608b	TIC-279246287
HD51608c	TIC-279246287
HD52265b	TIC-268565917
HD55696b	TIC-22598327
HD5583b	TIC-53848538
HD5608b	TIC-53873088
HD564b	TIC-200658785
HD5891b	TIC-243146568
HD60292b	TIC-71296216
HD60532b	TIC-456871289
HD60532c	TIC-456871289
HD62509b	TIC-423088367
HD63433b	TIC-130181866
HD63433c	TIC-130181866
HD63454b	TIC-278380701
HD63765b	TIC-340697083
HD64114b	TIC-36021583
HD6434b	TIC-180871947
HD65216b	TIC-382625142
HD65216c	TIC-382625142
HD66428b	TIC-73238215
HD67087b	TIC-165796397
HD67087c	TIC-165796397
HD6718b	TIC-408047845
HD68402b	TIC-272546396
HD68988b	TIC-73312938
HD69830b	TIC-307624961
HD69830c	TIC-307624961
HD69830d	TIC-307624961
HD70573b	TIC-455235218
HD70642b	TIC-183356952
HD7199b	TIC-52121796
HD72659b	TIC-121284864
HD72892b	TIC-405344271
HD73267b	TIC-11749208
HD73526b	TIC-180661948
HD73526c	TIC-180661948
HD74156b	TIC-379949822
HD74156c	TIC-379949822
HD7449b	TIC-248381971
HD75289b	TIC-181741837
HD75898b	TIC-302580456
HD76700b	TIC-302368715
HD76920b	TIC-302372658
HD77338b	TIC-37533318
HD7924b	TIC-468723402
