#Name,#tic_id,#Per,#Per_err,#Ecc,#Ecc_err,#T0,#T0_err,#a/R*,#a/R*_err,#Rp/R*,#Rp/R*_err,#Teff,#M/H,#logg,#RA,#DEC,#Nos_of_stars,#sum
Kepler-555 b,TIC 120572779,16.21775407,2.89E-05,,,2455013.04196,0.00145,,,0.02547,0.00038,5894,0,4.42,285.516872,38.9324587,1,4
Kepler-556 b,TIC 122449752,11.72292176,2.381E-05,,,2455010.3185,0.00157,,,0.02083,0.00054,5740,0.03,4.46,290.5294799,38.9427306,1,1
Kepler-557 b,TIC 138222081,3.70598955,4.87E-06,,,2455002.94342,0.00107,,,0.02125,0.0001,6068,0.02,4.35,293.7084179,41.6151084,1,4
Kepler-558 b,TIC 164730843,29.00790538,8.906E-05,,,2455003.55405,0.00224,,,0.02688,0.00103,5242,-0.06,4.56,284.6579709,42.6526751,1,4
Kepler-559 b,TIC 272488625,17.58752333,2.056E-05,,,2455009.077356,0.000888,,,0.03472,0.00039,5630,0.03,4.47,296.6368878,43.8027948,1,4
Kepler-560 b,TIC 239275865,18.47764449,1.517E-05,,,2455018.26856,0.000613,,,0.0479,0.001,3556,-0.39,4.94,300.2066441,45.0182402,2,4
Kepler-562 b,TIC 159301821,18.00931444,9.9E-06,,,2455015.441383,0.000446,,,0.05343,1E-05,5575,-0.04,4.5,290.1196007,46.2737393,1,4
Kepler-563 b,TIC 63289401,22.18432708,2.5E-05,,,2455007.597478,0.000892,,,0.03724,0.00097,5066,-0.08,4.58,292.4461832,46.2897548,1,4
Kepler-564 b,TIC 272838324,3.75083228,1.22E-06,,,2455004.151847,0.000251,,,0.04564,0.00036,5626,-0.01,4.49,296.8383661,46.6263912,1,4
Kepler-565 b,TIC 164556745,4.24374723,2.93E-06,,,2455006.563261,0.000556,,,0.03514,0.00044,5735,-0.02,4.47,283.6180825,47.1967793,1,4
Kepler-566 b,TIC 159727092,18.42794624,4.23E-05,,,2455011.44045,0.00178,,,0.02461,0.00079,5132,-0.01,4.57,291.5544735,47.8144362,1,4
Kepler-567 b,TIC 28231454,16.54297375,4.149E-05,,,2455002.64888,0.00183,,,0.02551,0.00084,5148,0,4.57,297.6726072,48.3023458,1,4
Kepler-568 b,TIC 28361088,11.02347475,7.66E-06,,,2455004.114802,0.000511,,,0.03866,0.00072,3768,0.11,4.73,298.1061315,48.4016448,1,4
Kepler-569 b,TIC 48353203,34.18890521,6.016E-05,,,2455026.38876,0.00127,,,0.03055,0.00041,5616,0.01,4.48,283.507219,48.552633,1,6
Kepler-570 b,TIC 407001624,4.301662,3.1E-06,,,2455005.310292,0.000572,,,0.02499,0.00048,5496,0.06,4.5,290.4376111,48.7918597,1,4
Kepler-571 b,TIC 243271972,4.79859939,5.4E-06,,,2455006.257757,0.000852,,,0.02694,0.00034,5527,0.01,4.51,286.5510448,49.418731,1,6
Kepler-572 b,TIC 350738817,17.20523483,2.222E-05,,,2455008.05811,0.00102,,,0.03024,0.00053,5212,-0.1,4.57,291.221172,50.5813487,1,4
Kepler-573 b,TIC 416266820,22.18329658,4.593E-05,,,2455002.49687,0.00176,,,0.02542,0.00048,5746,0.02,4.41,289.5211955,51.2374057,1,4
Kepler-574 b,TIC 406952542,7.65880414,1.346E-05,,,2455006.03902,0.0014,,,0.02407,0.0006,5612,-0.01,4.5,290.2470519,52.1491051,1,4
Kepler-575 b,TIC 121022533,9.37891944,2.371E-05,,,2455009.4519,0.00207,,,0.02304,0.00399,5710,0,4.47,286.9638856,37.8296147,1,1
Kepler-576 b,TIC 139036554,29.91136794,9.909E-05,,,2455027.70699,0.00263,,,0.03053,0.00163,5672,0.09,4.46,295.1828896,38.6542028,1,1
Kepler-577 b,TIC 378085037,25.69578251,6.32E-05,,,2455021.78959,0.00192,,,0.03206,0.00462,4984,-0.14,4.61,294.7119855,39.0737317,1,1
Kepler-578 b,TIC 121734474,1.6168837,1.23E-06,,,2455002.803484,0.000615,,,0.02183,0.00071,5334,-0.03,4.54,288.7549882,39.563696,1,2
Kepler-579 b,TIC 138959504,9.66857723,1.92E-05,,,2455007.53475,0.00165,,,0.01866,0.00053,5636,0.13,4.47,295.0020771,39.9528613,1,1
Kepler-580 b,TIC 237188565,8.22241966,9.79E-06,,,2455005.955999,0.000939,,,0.0373,0.00412,4298,-0.06,4.66,283.4997537,40.5528053,1,4
Kepler-581 b,TIC 184009313,40.6069821,0.0001744,,,2455032.25779,0.00322,,,0.02388,0.00085,5772,0.03,4.44,295.4326552,40.6481874,1,3
Kepler-582 b,TIC 169556162,18.49235668,2.487E-05,,,2455006.49896,0.00104,,,0.037,0.00066,5564,0.01,4.49,297.503718,41.0570326,1,3
Kepler-583 b,TIC 123415040,6.5100253,1.381E-05,,,2455005.91594,0.00159,,,0.02292,0.00071,5523,0.07,4.5,282.1113206,42.3545514,1,4
Kepler-584 b,TIC 158722119,35.1810304,9.392E-05,,,2455003.09976,0.00208,,,0.03113,0.00207,6195,0.02,4.31,288.230615,42.4136181,1,2
Kepler-585 b,TIC 158276273,2.75235975,1.42E-06,,,2455004.259749,0.000408,,,0.02848,0.00013,5593,0.03,4.49,286.5284924,43.8733751,1,4
Kepler-586 b,TIC 275490218,2.10472218,9.2E-07,,,2455004.043939,0.000345,,,0.02777,0.00047,5575,0,4.5,293.0571982,45.5511266,1,4
