#
# RESULTS FROM OUR FITS
# ---------------------
#
# Below, you will find the results of our fits. Next to each of the paramerters there are "UE" and "DE" columns which represents the "Upper Errors" and "Down Errors" --- i.e., the upper and lower bands of the 68% credibility bands (1-sigma errors).
# Note there are some planets commented out --- these are planets for which the actual lightcurve SNR is very bad for some reason (probably blended targets).
#
# Planet        Depth   UE      DE      rp/rs   UE      DE      b       UE      DE      q1      UE      DE      q2      UE      DE      u1      UE      DE      u2      UE      DE      a/rs    UE      DE      t0              UE      DE      P               UE              DE              Sectors observed/fitted
K2-115b	        15112	1088	924	0.1229	0.0043	0.0038	0.34	0.21	0.22	0.43	0.32	0.24	0.32	0.31	0.20	0.40	0.28	0.24	0.23	0.34	0.34	39.53	2.44	4.10	2459245.2759	0.0015	0.0015	20.273017	0.000060	0.000059	7,34
WASP-161b	5643	138	127	0.07512	0.00091	0.00085	0.18	0.15	0.11	0.174	0.126	0.066	0.52	0.26	0.25	0.43	0.12	0.14	-0.02	0.26	0.17	8.90	0.14	0.31	2459238.22390	0.00044	0.00045	5.4060425	0.0000044	0.0000046	34
HATS-24b	17930	444	589	0.1339	0.0016	0.0022	0.349	0.086	0.152	0.177	0.188	0.094	0.27	0.34	0.18	0.23	0.14	0.13	0.19	0.28	0.25	4.61	0.16	0.16	2458667.45842	0.00021	0.00022	1.34849781	0.00000080	0.00000085	13
WASP-79b	11487	80	84	0.10718	0.00037	0.00039	0.5559	0.0095	0.0103	0.135	0.030	0.025	0.43	0.14	0.13	0.316	0.067	0.071	0.051	0.108	0.100	7.149	0.048	0.046	2459196.643761	0.000096	0.000099	3.66239073	0.00000065	0.00000062	4,5,31,32
XO-3b	        7887	196	192	0.0888	0.0011	0.0011	0.696	0.028	0.033	0.222	0.117	0.080	0.26	0.37	0.19	0.25	0.25	0.17	0.23	0.24	0.32	7.09	0.24	0.23	2458828.64044	0.00031	0.00032	3.191561	0.000078	0.000076	19
KELT-8b	        12432	556	532	0.1115	0.0025	0.0024	0.614	0.028	0.040	0.097	0.096	0.054	0.38	0.37	0.26	0.22	0.19	0.15	0.07	0.21	0.19	6.96	0.21	0.17	2459021.32978	0.00031	0.00029	3.244044	0.000101	0.000092	26
HATS-42b	9810	250	258	0.0990	0.0013	0.0013	0.145	0.117	0.094	0.094	0.113	0.055	0.36	0.34	0.24	0.21	0.15	0.12	0.08	0.23	0.17	6.025	0.088	0.145	2459253.24737	0.00044	0.00043	2.2921020	0.0000019	0.0000019	33,34
HAT-P-36b	14976	305	305	0.1224	0.0012	0.0013	0.147	0.111	0.094	0.40	0.21	0.15	0.20	0.14	0.10	0.26	0.10	0.11	0.38	0.24	0.22	4.816	0.062	0.090	2458912.75043	0.00013	0.00013	1.32734683	0.00000042	0.00000045	22
KELT-1b	        6004	106	144	0.07748	0.00068	0.00094	0.413	0.057	0.134	0.136	0.068	0.038	0.58	0.23	0.23	0.421	0.095	0.118	-0.05	0.19	0.14	3.427	0.151	0.093	2458775.27387	0.00014	0.00014	1.2175163	0.0000103	0.0000097	17
WASP-16b	13084	615	492	0.1144	0.0027	0.0022	0.810	0.023	0.026	0.55	0.25	0.23	0.36	0.31	0.23	0.51	0.39	0.33	0.20	0.38	0.41	8.84	0.33	0.30	2458610.54694	0.00023	0.00022	3.118598	0.000014	0.000013	11
