121-125  F5.3   ---    tc_lit_e [0.0/0.19] 1-sigma errors on predicted transit
                               time
--------------------------------------------------------------------------------
Notes:
--------------------------------------------------------------------------------
NGTS-1b   0.1900 0.0300 0.0260 12.41 0.75 0.55 1226.97783 0.00046 0.00045 0.2390 0.1000 0.1000 12.20 0.70 0.70 1226.972 0.011
WASP-153b 0.0874 0.0033 0.0034  6.68 0.58 0.65 1021.26443 0.00080 0.00083 0.0920 0.0010 0.0010  6.00 0.30 0.30 1021.264 0.005
HATS-16b  0.1046 0.0051 0.0063  7.26 1.22 0.87 1097.57525 0.00100 0.00097 0.1075 0.0037 0.0037  6.50 0.70 0.70 1097.571 0.009
CoRoT-18b 0.1579 0.0042 0.0046  7.16 0.20 0.28 1226.40927 0.00061 0.00065 0.1341 0.0019 0.0019  6.35 0.40 0.40 1226.367 0.006
WASP-135b 0.1406 0.0021 0.0028  5.61 0.29 0.23 1021.71875 0.00029 0.00030 0.1394 0.0122 0.0122  5.46 0.31 0.31 1021.721 0.002
HATS-39b  0.0987 0.0043 0.0035 10.06 0.66 1.37 1237.89260 0.00110 0.00110 0.0993 0.0029 0.0029  7.97 0.38 0.38 1237.890 0.003
HATS-70b  0.0667 0.0013 0.0013  3.99 0.16 0.43 1253.29285 0.00062 0.00061 0.0740 0.0028 0.0028  4.17 0.16 0.16 1253.290 0.002
WASP-4b   0.1512 0.0010 0.0009  5.41 0.04 0.05 1112.62345 0.00005 0.00005 0.1520 0.0004 0.0004  5.45 0.02 0.02 1112.624 0.000
TOI-837b  0.0841 0.0089 0.0070 17.88 1.36 1.06  615.89818 0.00067 0.00065 0.0800 0.0100 0.0100 17.26 0.60 0.60  615.897 0.001
HATS-33b  0.1140 0.0014 0.0013  8.11 0.16 0.22 1059.54363 0.00017 0.00017 0.1237 0.0080 0.0080  7.83 0.32 0.32 1059.535 0.006
CoRoT-12b 0.1674 0.0173 0.0098  7.97 0.95 1.74 1211.97060 0.00220 0.00240 0.1314 0.0015 0.0015  8.10 0.24 0.24 1211.955 0.022
HATS-55b  0.1237 0.0073 0.0059 12.43 1.55 2.12 1237.74730 0.00110 0.00120 0.1141 0.0020 0.0020 10.33 0.09 0.09 1237.753 0.002
WASP-159b 0.0749 0.0013 0.0014  4.96 0.35 0.36 1196.57260 0.00062 0.00064 0.0673 0.0013 0.0013  5.44 0.15 0.15 1196.564 0.003
TOI-169b  0.0825 0.0039 0.0038  6.46 0.53 0.38 1085.27157 0.00040 0.00042 0.0866 0.0056 0.0056  5.88 0.15 0.15 1085.272 0.002
WASP-150b 0.0653 0.0016 0.0043 11.25 3.40 1.10 1034.69870 0.00065 0.00065 0.0666 0.0019 0.0019  9.04 0.19 0.19 1034.696 0.001
WASP-119b 0.1127 0.0004 0.0004  7.35 0.04 0.06 1252.33708 0.00009 0.00009 0.1103 0.0010 0.0010  6.33 0.66 0.66 1252.319 0.011
WASP-48b  0.0952 0.0014 0.0018  4.70 0.22 0.17 1034.45778 0.00025 0.00025 0.0958 0.0008 0.0008  4.25 0.18 0.18 1034.447 0.005
HATS-6b   0.1668 0.0029 0.0042 13.17 0.44 0.41 1227.47225 0.00021 0.00020 0.1798 0.0008 0.0008 13.65 0.15 0.15 1227.477 0.002
HAT-P-21b 0.0928 0.0019 0.0026  8.94 0.70 0.51  910.55349 0.00051 0.00050 0.0950 0.0022 0.0022  9.65 0.74 0.74  910.545 0.007
WASP-7b   0.0790 0.0007 0.0006  8.93 0.29 0.25 1043.71310 0.00020 0.00020 0.0956 0.0016 0.0016  9.07 0.53 0.53 1043.705 0.003
WASP-136b 0.0682 0.0008 0.0008  7.31 0.26 0.25 1097.73967 0.00031 0.00031 0.0648 0.0099 0.0099  6.49 0.67 0.67 1097.740 0.003
HD219666b 0.0397 0.0017 0.0017 14.56 3.10 1.73 1083.67430 0.03780 0.00190 0.0419 0.0008 0.0008 13.27 0.39 0.39 1083.708 0.079
LHS3844b  0.0639 0.0015 0.0013  6.75 0.37 0.64 1085.39295 0.00010 0.00010 0.0635 0.0009 0.0009  7.11 0.03 0.03 1085.392 0.003
WASP-42b  0.1239 0.0031 0.0030 13.16 0.74 0.67  579.79617 0.00035 0.00035 0.1293 0.0008 0.0008 13.50 0.32 0.32  579.796 0.001
WASP-113b 0.0911 0.0017 0.0020  8.09 0.51 0.45  982.16991 0.00042 0.00041 0.0906 0.0097 0.0097  7.90 0.53 0.53  982.170 0.002
KELT-7b   0.0897 0.0006 0.0005  5.60 0.07 0.07  827.45748 0.00009 0.00008 0.0922 0.0004 0.0004  5.50 0.17 0.17  827.461 0.004
