Title: Empirical limb-darkening coefficients & transit parameters of 
       known exoplanets from TESS
Authors: Patel J.A., Espinoza N. 
Table: Various stellar properties of our targets. 
================================================================================
Byte-by-byte Description of file: datafile3.txt
--------------------------------------------------------------------------------
   Bytes Format Units    Label  Explanations
--------------------------------------------------------------------------------
   1-  8 A8     ---      Name      Name of the host star                         
  10- 15 F6.1   K        Teff      [3036.0/8720.0] Effective temperature (1)
  17- 22 F6.3   [-]      Fe/H      [-0.35/0.47] Metallicity (1) (2)
  24- 28 F5.3   [cm/s2]  logg      [3.58/5.06] Surface gravity (in log cgs units) (1)
  30-32  A3     ---      vturb     Microturbulent veocity                         
  34-54  A21    ---      temp-ref  Reference bibcode to the effecttive temperature
  56-76  A21    ---      [M/H]-ref Reference bibcode to the metallicity (2)           
  78-98  A21    ---      logg-ref  Reference bibcode to the  surface gravity      
--------------------------------------------------------------------------------
Note (1): The data of literature planetary parameters was extracted from the NASA
    Exoplanet Archive on February 23, 2021.
    (2): "-----" means that the metallicity for the source was not available. In 
    this case, we put "NONE" in the reference column.
--------------------------------------------------------------------------------
WASP-141 5900.0 0.290  4.260 ... 2017MNRAS.465.3693H   2017MNRAS.465.3693H   2017MNRAS.465.3693H  
KPS-1    5165.0 0.220  4.470 ... 2018PASP..130g4401B   2018PASP..130g4401B   2018PASP..130g4401B  
HATS-47  4512.0 -0.113 4.630 ... 2020AJ....159..173H   2020AJ....159..173H   2020AJ....159..173H  
LHS1815  3643.0 -0.120 4.770 ... 2020AJ....159..160G   2020AJ....159..160G   2020AJ....159..160G  
WASP-95  5830.0 0.140  4.360 ... 2017AJ....153..136S   2017AJ....153..136S   2017AJ....153..136S  
TOI-132  5397.0 0.160  4.480 ... 2020MNRAS.493..973D   2020MNRAS.493..973D   2020MNRAS.493..973D  
K2-237   6099.0 0.000  4.270 ... 2019AcA....69..135S   2019AcA....69..135S   2019AcA....69..135S  
XO-6     6720.0 -0.070 4.040 ... 2017AJ....153...94C   2017AJ....153...94C   2017AJ....153...94C  
WASP-35  5990.0 -0.150 4.400 ... 2017AJ....153..136S   2017AJ....153..136S   2017AJ....153..136S  
HATS-68  6147.0 0.210  4.080 ... 2019AJ....157...55H   2019AJ....157...55H   2019AJ....157...55H  
HAT-P-55 5808.0 -0.030 4.430 ... 2015PASP..127..851J   2015PASP..127..851J   2015PASP..127..851J  
KELT-24  6509.0 0.186  4.250 ... 2019AJ....158..197R   2019AJ....158..197R   2019AJ....158..197R  
WASP-124 6050.0 -0.020 4.440 ... 2016A&A...591A..55M   2016A&A...591A..55M   2016A&A...591A..55M  
HATS-28  5498.0 0.010  4.480 ... 2016AJ....152..108E   2016AJ....152..108E   2016AJ....152..108E  
WASP-142 6010.0 0.260  4.130 ... 2017MNRAS.465.3693H   2017MNRAS.465.3693H   2017MNRAS.465.3693H  
WASP-13  5950.0 0.000  4.060 ... 2017AJ....153..136S   2017AJ....153..136S   2017AJ....153..136S  
HAT-P-70 8450.0 -0.059 4.180 ... 2019AJ....158..141Z   2019AJ....158..141Z   2019AJ....158..141Z  
