Title: Empirical limb-darkening coefficients & transit parameters of known
       exoplanets from TESS
Authors: Jayshil A. Patel and Néstor Espinoza
Table: Retrieved planetary parameters along with their literature values.
================================================================================
Byte-by-byte Description of file: planetary_ascii_updated.dat
--------------------------------------------------------------------------------
 Bytes Format Units  Label     Explanations
--------------------------------------------------------------------------------
  1-  9  A9     ---    name    Name of the planet
 11- 19  F9.0   ---    tic     TIC id of the planet
 21- 26  F6.4   ---    Rp/R*   [0.02/0.23] Rp/R* retrieved from this work
 28- 33  F6.4   ---    Rp/R*_u [0.0/0.03] Upper 68% credibility band on Rp/R*
 35- 40  F6.4   ---    Rp/R*_l [0.0/0.03] Lower 68% credibility band on Rp/R*
 42- 46  F5.2   ---    a/R*    [3.42/39.53] a/R* retrieved from this work
 48- 51  F4.2   ---    a/R*_u  [0.01/4.68] Upper 68% credibility band on a/R*
 53- 56  F4.2   ---    a/R*_l  [0.01/7.84] Lower 68% credibility band on a/R*
 58- 70  F13.5  d      tc      [2458332.08/2459253.41] Transit time (in BJD)
                              from this work
 72- 78  F7.5   d      tcep    [0.0/0.06] Upper 68% credibility band on transit
                              time
 80- 86  F7.5   d      tcen    [0.0/0.06] Lower 68% credibility band on transit
                              time
 88- 92  F5.3   ---    b       [0.09/0.94] b retrieved from this work
 94- 98  F5.3   ---    b_u     [0.0/0.33] Upper 68% credibility band on b
100-104  F5.3   ---    b_l     [0.0/0.41] Lower 68% credibility band on b
106-115  F10.7  d      P       [0.46/20.28] period retrieved from this work
117-125  F9.7   d      P_u     [0.0/0.01] Upper 68% credibility band on period
127-135  F9.7   d      P_l     [0.0/0.01] Lower 68% credibility band on period
--------------------------------------------------------------------------------
Notes:
--------------------------------------------------------------------------------
HATS-69b  467971286 0.1032 0.0034 0.0028  7.53 0.28 0.59 2459046.04132 0.00065 0.00063 0.250 0.210 0.160  2.2252577 0.0000017 0.0000017
TOI-824b  193641523 0.0459 0.0027 0.0054  5.54 2.57 0.70 2458652.14033 0.00047 0.00046 0.821 0.052 0.322  1.3929800 0.0000140 0.0000140
HATS-14b   29344935 0.1195 0.0019 0.0023  8.58 0.49 0.54 2459084.22029 0.00053 0.00052 0.390 0.120 0.190  2.7667630 0.0000020 0.0000019
HAT-P-69b 379929661 0.0849 0.0009 0.0008  7.68 0.19 0.25 2459237.77170 0.00023 0.00023 0.260 0.100 0.150  4.7869491 0.0000019 0.0000018
HATS-7b   220029715 0.0669 0.0041 0.0034 10.12 1.20 2.22 2458611.49050 0.00130 0.00140 0.460 0.260 0.270  3.1853149 0.0000049 0.0000046
WASP-6b   204376737 0.1453 0.0014 0.0020 10.81 0.21 0.18 2459110.25922 0.00015 0.00014 0.332 0.052 0.084  3.3610032 0.0000008 0.0000009
WASP-66b   53735810 0.0815 0.0013 0.0013  7.33 0.25 0.50 2458552.34231 0.00068 0.00067 0.250 0.190 0.160  4.0860502 0.0000065 0.0000064
WASP-25b  229047362 0.1410 0.0012 0.0014 11.20 0.25 0.22 2458580.52049 0.00014 0.00014 0.386 0.047 0.062  3.7648304 0.0000045 0.0000048
WASP-43b   36734222 0.1615 0.0017 0.0025  4.72 0.05 0.05 2458555.80567 0.00005 0.00005 0.698 0.012 0.014  0.8134749 0.0000009 0.0000010
GJ1252b   370133522 0.0276 0.0012 0.0009  5.02 0.36 0.83 2459060.40646 0.00040 0.00033 0.380 0.270 0.220  0.5182418 0.0000007 0.0000006
KELT-12b  116242971 0.0711 0.0007 0.0009  6.46 0.30 0.26 2459030.90211 0.00042 0.00042 0.510 0.059 0.080  5.0316170 0.0000290 0.0000280
TOI-122b  231702397 0.0757 0.0038 0.0037 31.04 3.54 6.02 2459080.66878 0.00087 0.00107 0.420 0.260 0.260  5.0780295 0.0000078 0.0000081
HATS-57b  178289267 0.1226 0.0018 0.0021  7.58 0.27 0.27 2459155.95828 0.00020 0.00019 0.350 0.091 0.145  2.3506209 0.0000012 0.0000012
HATS-4b    59843967 0.1195 0.0028 0.0023  8.19 0.30 0.46 2459226.05611 0.00034 0.00033 0.290 0.160 0.180  2.5167281 0.0000013 0.0000014
HD332231b 199376584 0.0717 0.0005 0.0005 24.25 0.19 0.40 2458729.68068 0.00035 0.00036 0.116 0.104 0.074 18.7120400 0.0004000 0.0003900
CoRoT-19b  42821097 0.0800 0.0018 0.0020  6.59 0.25 0.55 2459224.72670 0.00160 0.00170 0.250 0.220 0.160  3.8971310 0.0000110 0.0000110
HATS-17b   73717937 0.0762 0.0029 0.0023 25.01 1.28 3.01 2458618.34470 0.00170 0.00180 0.300 0.250 0.190 16.2546130 0.0000700 0.0000670
HATS-71b  234523599 0.2201 0.0026 0.0038 16.84 0.44 0.44 2459111.32287 0.00022 0.00021 0.354 0.065 0.100  3.7955195 0.0000008 0.0000008
WASP-5b   184240683 0.1110 0.0009 0.0013  5.40 0.15 0.13 2459111.09959 0.00015 0.00015 0.361 0.059 0.098  1.6284300 0.0000005 0.0000005
HATS-32b  204317710 0.1142 0.0029 0.0030  7.95 0.29 0.49 2459109.77173 0.00087 0.00088 0.240 0.190 0.150  2.8126535 0.0000037 0.0000037
KELT-11b   55092869 0.0475 0.0006 0.0006  4.61 0.18 0.15 2458553.81381 0.00033 0.00033 0.541 0.044 0.061  4.7360990 0.0000290 0.0000270
CoRoT-13b 281909674 0.1004 0.0071 0.0068 10.76 1.25 2.13 2459225.37710 0.00340 0.00290 0.390 0.280 0.240  4.0351500 0.0000260 0.0000250
HATS-5b   139733308 0.1072 0.0021 0.0022 12.29 0.68 0.57 2459198.51282 0.00035 0.00035 0.430 0.086 0.145  4.7633877 0.0000034 0.0000035
NGTS-1b   192826603 0.1900 0.0300 0.0260 12.41 0.75 0.55 2459226.97783 0.00046 0.00045 0.913 0.050 0.058  2.6473049 0.0000029 0.0000028
WASP-153b 157586003 0.0874 0.0033 0.0034  6.68 0.58 0.65 2459021.26443 0.00080 0.00083 0.480 0.140 0.240  3.3326090 0.0000019 0.0000019
